,restaurantID,name,reviewID,Review Sentiment,rating_y
222,-GpWeQogXbJNFx_xE6arCA,In & Out Moving & Storage,VEUgth5BC_HVgSaJBnbV7Q,negative,5
223,-gRWlMxEYhUJmRHQiG3WBg,Paul Young Fine Jewelers,09tLvrfZh3sRUIBsONIsWw,positive,5
224,-gRWlMxEYhUJmRHQiG3WBg,Paul Young Fine Jewelers,8BW5mgPPX3B7pJ1LzN6g3A,positive,5
225,-gRWlMxEYhUJmRHQiG3WBg,Paul Young Fine Jewelers,I75xPoyv9ek9zhIPS-WQAQ,positive,5
226,-gRWlMxEYhUJmRHQiG3WBg,Paul Young Fine Jewelers,KlnLfUz1c9KKlymgP6RzLg,negative,5
227,-gRWlMxEYhUJmRHQiG3WBg,Paul Young Fine Jewelers,nmAleGkZ7BfjrSQVjw9CYA,positive,5
228,-gRWlMxEYhUJmRHQiG3WBg,Paul Young Fine Jewelers,QE6-YsyTxL-iTVWUfO7TWA,negative,5
229,-gRWlMxEYhUJmRHQiG3WBg,Paul Young Fine Jewelers,zTTdjESGX7wlofTGpA-15g,negative,1
230,-guHhnAYoW7chTG4Vc5g4Q,Nuts On Clark Union Station Inc,kY_u9uU_kBYMamgKkDAcbQ,positive,4
231,-guHhnAYoW7chTG4Vc5g4Q,Nuts On Clark Union Station Inc,nSMR_q64kEdXQUY7-x_HUQ,positive,4
232,-guHhnAYoW7chTG4Vc5g4Q,Nuts On Clark Union Station Inc,O9T2m9LCqZe7MxQ11jM0KA,positive,5
233,-guHhnAYoW7chTG4Vc5g4Q,Nuts On Clark Union Station Inc,QpMTwUzrafBWNNYomqj5vw,positive,4
234,-guHhnAYoW7chTG4Vc5g4Q,Nuts On Clark Union Station Inc,wzy9Ab1evZEE9JRzLyMhFQ,positive,5
