,restaurantID,rating_y,average sentiments
389,9qjhVmuL-fMLnf0Y0u3r_Q,5.0,positive
390,9w3eu3ra1HPLz_8REiFjNw,2.0,positive
391,9zFTM8ZCFAyYIcF6zEiA9w,5.0,positive
392,A1JZZ8F5hg6F0cGsxIXipg,3.1728395061728394,positive
393,A48lL3cEF1q8tz5STNvH2w,3.0,positive
394,A5K2m7FwuUU27lHyAwjGXA,4.236363636363636,positive
395,A9tAJqtGcIhmT7mz4hmGmQ,3.5,negative
396,A9wblr25wvwG_KYBdR9Xtg,3.5,positive
397,ABV1Ow2DMdBZAHVz5RrcOw,5.0,positive
398,AC6Ih0RX3CrhSfpGDRYV-A,1.5,negative
399,ADvyx_tqnESKuKEfowgzyg,3.1666666666666665,negative
400,AEE88otvh7TEo0v-JuAhtg,3.625,positive
401,AJc7NES7-nHIkyfS7HN5Jw,5.0,positive
402,AKDAaTltww4U-GYY_WaQ6g,5.0,positive
403,ALKBiAyUhOsyZL1_o1nEEg,4.0,positive
404,AN6mxfLVu4_Juc-75_O55A,4.0,positive
405,ANuM4Ymv6mRmfNwnkDVL5A,3.0,positive
406,AO83FW-KEkwzxC0YcvGO1w,3.733333333333333,positive
407,AOQCDXY5KOkPd9-OCYgrug,4.0,negative
408,AS8V9HVQ-DhTomXCKPMWfw,5.0,negative
409,ATIGFlDUYo9QRruh-o8GIw,5.0,negative
410,ATzRpvcNVnIKUOfoXkX2Fw,4.0,positive
411,AY--QU6jfbG89V-4M6hzxg,2.0,negative
412,AYdOe36tYzKHglzisR88Qw,2.6666666666666665,negative
413,AaVl-ga8xOWAUCDGSYjdgA,3.5294117647058822,positive
414,AaitOffa8IQQPjiOvKzjBA,5.0,negative
415,Aatx2OTJh2XFWcnNP0LQ1A,2.0,negative
416,Abdu_0BgWWNtXSa1IXEGjw,5.0,positive
417,Ac62XmrbvgRkS_FIa_C-Dg,3.1428571428571432,negative
418,Ac6XpH8gKVuQs0VXh_BZIQ,5.0,positive
419,Ad46pgx55ijgn-JsJs8MFg,5.0,negative
420,AgN30Sf7VIRuicScI7Vc9A,3.5,positive
421,AhO_v_j3bRcSYu2KwmfEtA,1.0,positive
422,AjixnGg8zNKIPdWuwJAJKw,3.466666666666667,positive
423,Ak-f3cW7ItymqNj2MAlWCA,1.875,negative
424,AkcZ1fUyB3RocKLYGFu20Q,4.680473372781066,positive
425,AkgXz0d5vVhdEOk5PAcZoA,2.0,negative
426,Aq3ED5k8GzRyNELKBI85nA,2.6666666666666665,negative
427,ArT0vbIky7FvWFpPoIerEw,3.397058823529412,positive
