County_name,State_name,Pop_5_17,Pop_18_24,Pop_25_44,Pop_45_64,Pop_65,state,county,tract,block group
Cook County,Illinois,227,319,838,280,62,17,031,060300,1
Cook County,Illinois,227,124,674,180,104,17,031,060300,2
Cook County,Illinois,260,270,896,265,21,17,031,060400,1
Cook County,Illinois,212,63,581,239,18,17,031,060400,2
Cook County,Illinois,99,162,541,61,34,17,031,060400,3
Cook County,Illinois,73,177,388,164,338,17,031,060500,1
Cook County,Illinois,0,98,874,191,102,17,031,060800,1
Cook County,Illinois,0,0,0,0,0,17,031,060800,2
Cook County,Illinois,216,294,1849,695,387,17,031,060800,3
Cook County,Illinois,0,126,490,162,0,17,031,060900,1
Cook County,Illinois,0,0,0,0,0,17,031,060900,2
Cook County,Illinois,75,114,650,371,265,17,031,060900,3
Cook County,Illinois,88,240,1689,916,350,17,031,060900,4
Cook County,Illinois,114,173,325,144,15,17,031,060900,5
Cook County,Illinois,33,362,1035,120,56,17,031,061000,1
Cook County,Illinois,22,357,704,117,14,17,031,061100,1
Cook County,Illinois,87,562,1163,278,59,17,031,061200,1
Cook County,Illinois,105,251,1203,257,95,17,031,061500,1
Cook County,Illinois,41,272,633,132,58,17,031,061800,1
Cook County,Illinois,0,91,330,130,85,17,031,061901,1
Cook County,Illinois,98,93,724,181,58,17,031,061901,2
Cook County,Illinois,28,89,274,264,15,17,031,061901,3
Cook County,Illinois,131,76,641,195,166,17,031,061901,4
Cook County,Illinois,12,138,456,134,190,17,031,061902,1
Cook County,Illinois,91,221,576,490,246,17,031,061902,2
Cook County,Illinois,64,119,452,503,164,17,031,061902,3
Cook County,Illinois,0,0,0,0,0,17,031,061902,4
Cook County,Illinois,67,216,1000,331,75,17,031,062000,1
Cook County,Illinois,10,216,600,151,11,17,031,062000,2
Cook County,Illinois,51,148,650,103,16,17,031,062100,1
Cook County,Illinois,0,194,569,84,10,17,031,062100,2
Cook County,Illinois,8,200,773,186,136,17,031,062100,3
Cook County,Illinois,98,270,1052,109,0,17,031,062200,1
Cook County,Illinois,33,105,930,276,10,17,031,062200,2
Cook County,Illinois,196,189,941,207,44,17,031,062300,1
Cook County,Illinois,142,129,963,226,87,17,031,062400,1
Cook County,Illinois,32,155,781,191,10,17,031,062500,1
Cook County,Illinois,300,111,1107,394,59,17,031,062600,1
Cook County,Illinois,27,36,422,153,0,17,031,062700,1
Cook County,Illinois,87,208,315,151,13,17,031,062700,2
Cook County,Illinois,125,174,453,203,90,17,031,062700,3
Cook County,Illinois,147,195,402,313,79,17,031,062800,1
Cook County,Illinois,108,162,491,233,25,17,031,062800,2
Cook County,Illinois,26,189,877,76,61,17,031,062800,3
Cook County,Illinois,12,179,789,150,105,17,031,062900,1
Cook County,Illinois,62,78,794,110,7,17,031,062900,2
Cook County,Illinois,21,653,839,161,60,17,031,062900,3
Cook County,Illinois,25,235,976,57,3,17,031,063000,1
Cook County,Illinois,27,231,598,175,52,17,031,063000,2
Cook County,Illinois,54,238,440,39,8,17,031,063000,3
Cook County,Illinois,31,278,892,77,0,17,031,063100,1
Cook County,Illinois,55,171,646,82,27,17,031,063100,2
Cook County,Illinois,0,168,350,193,160,17,031,063200,1
Cook County,Illinois,0,44,284,260,152,17,031,063200,2
Cook County,Illinois,26,96,424,81,106,17,031,063200,3
Cook County,Illinois,37,14,565,278,374,17,031,063200,4
Cook County,Illinois,37,74,400,99,0,17,031,063200,5
Cook County,Illinois,68,382,916,237,148,17,031,063200,6
Cook County,Illinois,0,208,479,241,117,17,031,063301,1
Cook County,Illinois,0,54,521,22,51,17,031,063301,2
Cook County,Illinois,0,130,282,114,167,17,031,063301,3
Cook County,Illinois,49,142,766,300,252,17,031,063302,1
Cook County,Illinois,12,241,564,127,0,17,031,063302,2
Cook County,Illinois,0,221,356,24,14,17,031,063302,3
Cook County,Illinois,11,137,531,124,18,17,031,063302,4
Cook County,Illinois,0,0,7,76,452,17,031,063303,1
Cook County,Illinois,8,105,300,173,130,17,031,063303,2
Cook County,Illinois,31,145,704,150,40,17,031,063400,1
Cook County,Illinois,7,220,574,134,37,17,031,063400,2
Cook County,Illinois,60,48,590,458,217,17,031,070101,1
Cook County,Illinois,412,66,638,215,307,17,031,070101,2
Cook County,Illinois,0,193,528,148,135,17,031,070101,3
Cook County,Illinois,0,164,591,130,14,17,031,070102,1
Cook County,Illinois,0,108,292,133,16,17,031,070102,2
Cook County,Illinois,10,115,485,115,89,17,031,070102,3
Cook County,Illinois,24,229,553,150,45,17,031,070103,1
Cook County,Illinois,0,272,359,41,34,17,031,070103,2
Cook County,Illinois,229,225,1107,359,215,17,031,070200,1
Cook County,Illinois,49,219,586,53,60,17,031,070200,2
Cook County,Illinois,30,222,443,111,29,17,031,070200,3
Cook County,Illinois,78,467,1095,208,66,17,031,070300,1
Cook County,Illinois,33,373,703,186,22,17,031,070300,2
Cook County,Illinois,12,164,359,177,327,17,031,070400,1
Cook County,Illinois,69,190,302,193,107,17,031,070400,2
Cook County,Illinois,235,297,505,257,30,17,031,070400,3
Cook County,Illinois,116,257,523,210,46,17,031,070500,1
Cook County,Illinois,72,119,258,176,391,17,031,070500,2
Cook County,Illinois,28,217,441,58,14,17,031,070500,3
Cook County,Illinois,247,0,743,425,93,17,031,070600,1
Cook County,Illinois,61,229,537,214,26,17,031,070600,2
Cook County,Illinois,389,363,1344,263,58,17,031,070700,1
Cook County,Illinois,92,97,411,217,66,17,031,070700,2
Cook County,Illinois,33,1928,199,49,20,17,031,071000,1
Cook County,Illinois,56,466,861,245,113,17,031,071000,2
Cook County,Illinois,172,501,428,332,138,17,031,071100,1
Cook County,Illinois,26,549,513,100,83,17,031,071100,2
Cook County,Illinois,138,165,416,142,72,17,031,071200,1
Cook County,Illinois,73,167,497,129,181,17,031,071200,2
Cook County,Illinois,250,167,789,291,120,17,031,071300,1
Cook County,Illinois,213,200,1009,280,146,17,031,071300,2
Cook County,Illinois,51,84,273,174,91,17,031,071400,1
Cook County,Illinois,152,134,749,571,146,17,031,071400,2
Cook County,Illinois,90,150,635,289,162,17,031,071400,3
Cook County,Illinois,26,73,457,123,41,17,031,071400,4
Cook County,Illinois,18,0,380,213,55,17,031,071500,1
Cook County,Illinois,0,45,723,197,149,17,031,071500,2
Cook County,Illinois,28,232,629,226,124,17,031,071500,3
Cook County,Illinois,161,76,618,137,55,17,031,071500,4
Cook County,Illinois,0,52,261,114,115,17,031,071500,5
Cook County,Illinois,27,51,407,174,81,17,031,071500,6
Cook County,Illinois,173,124,714,323,249,17,031,071600,1
Cook County,Illinois,131,31,330,168,42,17,031,071700,1
Cook County,Illinois,133,128,332,287,70,17,031,071700,2
Cook County,Illinois,319,146,732,515,180,17,031,071800,1
Cook County,Illinois,55,0,244,122,71,17,031,071800,2
Cook County,Illinois,39,41,275,128,106,17,031,080100,1
Cook County,Illinois,240,0,537,311,274,17,031,080100,2
Cook County,Illinois,0,47,557,215,56,17,031,080100,3
Cook County,Illinois,30,59,108,253,630,17,031,080100,4
Cook County,Illinois,90,47,369,260,125,17,031,080100,5
Cook County,Illinois,0,14,368,161,334,17,031,080100,6
Cook County,Illinois,0,0,112,79,302,17,031,080100,7
Cook County,Illinois,20,136,665,371,287,17,031,080201,1
Cook County,Illinois,34,49,506,475,303,17,031,080201,2
Cook County,Illinois,72,71,50,227,159,17,031,080201,3
Cook County,Illinois,11,12,229,156,136,17,031,080202,1
Cook County,Illinois,55,12,337,338,153,17,031,080202,2
Cook County,Illinois,74,154,1046,453,207,17,031,080202,3
Cook County,Illinois,21,20,282,22,174,17,031,080300,1
Cook County,Illinois,79,135,1191,306,81,17,031,080300,2
Cook County,Illinois,69,121,689,154,2,17,031,080300,3
Cook County,Illinois,65,54,585,193,44,17,031,080300,4
Cook County,Illinois,738,249,646,354,124,17,031,080400,1
Cook County,Illinois,179,16,242,218,25,17,031,080400,2
Cook County,Illinois,179,68,868,261,22,17,031,080400,3
Cook County,Illinois,21,72,306,20,46,17,031,081000,1
Cook County,Illinois,11,122,723,356,141,17,031,081000,2
Cook County,Illinois,0,102,499,382,196,17,031,081000,3
Cook County,Illinois,25,139,473,287,172,17,031,081000,4
Cook County,Illinois,0,1198,558,191,476,17,031,081000,5
Cook County,Illinois,0,109,446,204,409,17,031,081000,6
Cook County,Illinois,0,10,378,278,443,17,031,081100,1
Cook County,Illinois,0,97,709,455,51,17,031,081100,2
Cook County,Illinois,0,351,668,126,43,17,031,081100,3
Cook County,Illinois,33,135,204,432,351,17,031,081201,1
Cook County,Illinois,30,495,478,532,366,17,031,081201,2
Cook County,Illinois,16,256,609,259,305,17,031,081201,3
Cook County,Illinois,10,14,23,96,352,17,031,081202,1
Cook County,Illinois,32,42,213,205,284,17,031,081202,2
Cook County,Illinois,10,153,390,191,305,17,031,081202,3
Cook County,Illinois,87,135,163,206,241,17,031,081202,4
Cook County,Illinois,0,54,251,170,236,17,031,081300,1
Cook County,Illinois,0,54,204,248,14,17,031,081300,2
Cook County,Illinois,0,0,221,252,434,17,031,081300,3
Cook County,Illinois,14,114,764,427,181,17,031,081300,4
Cook County,Illinois,0,11,183,80,175,17,031,081300,5
Cook County,Illinois,0,52,129,184,374,17,031,081300,6
Cook County,Illinois,43,0,243,336,247,17,031,081401,1
Cook County,Illinois,20,390,406,283,351,17,031,081401,2
Cook County,Illinois,85,69,744,729,328,17,031,081402,1
Cook County,Illinois,38,74,547,465,172,17,031,081402,2
Cook County,Illinois,8,42,407,207,86,17,031,081402,3
Cook County,Illinois,58,30,1675,738,485,17,031,081403,1
Cook County,Illinois,0,204,769,226,28,17,031,081403,2
Cook County,Illinois,61,175,1431,565,94,17,031,081403,3
Cook County,Illinois,26,79,772,387,111,17,031,081500,1
Cook County,Illinois,29,119,791,267,155,17,031,081500,2
Cook County,Illinois,43,96,530,468,207,17,031,081500,3
Cook County,Illinois,54,406,1116,388,295,17,031,081600,1
Cook County,Illinois,0,0,696,176,98,17,031,081600,2
Cook County,Illinois,51,139,546,160,24,17,031,081700,1
Cook County,Illinois,55,270,1351,446,33,17,031,081700,2
Cook County,Illinois,87,51,2548,618,0,17,031,081800,1
Cook County,Illinois,0,352,1638,367,0,17,031,081800,2
Cook County,Illinois,28,70,699,484,79,17,031,081800,3
Cook County,Illinois,136,81,608,285,49,17,031,081900,1
Cook County,Illinois,142,57,251,274,157,17,031,090100,1
Cook County,Illinois,182,76,227,264,158,17,031,090100,2
Cook County,Illinois,95,43,138,207,189,17,031,090100,3
Cook County,Illinois,68,32,119,234,126,17,031,090100,4
Cook County,Illinois,142,78,356,366,175,17,031,090200,1
Cook County,Illinois,242,9,356,246,165,17,031,090200,2
Cook County,Illinois,192,60,567,522,272,17,031,090200,3
Cook County,Illinois,219,49,758,399,258,17,031,090200,4
Cook County,Illinois,210,32,82,263,81,17,031,090200,5
Cook County,Illinois,174,100,348,437,244,17,031,090300,1
Cook County,Illinois,119,44,352,251,170,17,031,100100,1
Cook County,Illinois,217,252,552,433,220,17,031,100100,2
Cook County,Illinois,65,30,162,268,177,17,031,100100,3
Cook County,Illinois,77,98,159,320,129,17,031,100100,4
Cook County,Illinois,316,94,304,441,171,17,031,100100,5
Cook County,Illinois,259,44,435,413,161,17,031,100200,1
Cook County,Illinois,46,30,108,168,36,17,031,100200,2
Cook County,Illinois,110,183,518,366,405,17,031,100200,3
Cook County,Illinois,158,19,350,273,116,17,031,100200,4
Cook County,Illinois,12,14,217,276,153,17,031,100200,5
Cook County,Illinois,145,106,250,476,107,17,031,100200,6
Cook County,Illinois,139,37,283,126,73,17,031,100200,7
Cook County,Illinois,96,85,118,285,162,17,031,100300,1
Cook County,Illinois,145,69,237,339,280,17,031,100300,2
Cook County,Illinois,160,152,166,290,180,17,031,100300,3
Cook County,Illinois,268,126,265,432,212,17,031,100300,4
Cook County,Illinois,102,94,121,299,185,17,031,100300,5
Cook County,Illinois,36,53,87,219,706,17,031,100300,6
Cook County,Illinois,71,0,199,281,167,17,031,100400,1
Cook County,Illinois,180,23,253,272,150,17,031,100400,2
Cook County,Illinois,165,31,452,323,174,17,031,100400,3
Cook County,Illinois,418,13,311,180,102,17,031,100500,1
Cook County,Illinois,69,5,202,184,122,17,031,100500,2
Cook County,Illinois,71,109,114,253,127,17,031,100500,3
Cook County,Illinois,199,64,234,323,221,17,031,100500,4
Cook County,Illinois,200,91,225,602,446,17,031,100500,5
Cook County,Illinois,190,22,257,256,251,17,031,100600,1
Cook County,Illinois,214,31,298,405,228,17,031,100600,2
Cook County,Illinois,148,94,242,357,70,17,031,100600,3
Cook County,Illinois,251,140,546,431,277,17,031,100600,4
Cook County,Illinois,85,63,177,166,163,17,031,100700,1
Cook County,Illinois,9,43,282,326,155,17,031,100700,2
Cook County,Illinois,280,78,263,260,148,17,031,100700,3
Cook County,Illinois,150,93,251,279,170,17,031,100700,4
Cook County,Illinois,56,53,277,374,288,17,031,100700,5
Cook County,Illinois,262,187,603,418,137,17,031,110100,1
Cook County,Illinois,227,102,474,309,196,17,031,110100,2
Cook County,Illinois,53,41,148,63,82,17,031,110100,3
Cook County,Illinois,222,29,329,220,113,17,031,110100,4
Cook County,Illinois,228,57,252,401,257,17,031,110100,5
Cook County,Illinois,185,181,443,407,208,17,031,110200,1
Cook County,Illinois,359,86,389,284,277,17,031,110200,2
Cook County,Illinois,197,14,152,205,105,17,031,110300,1
Cook County,Illinois,214,108,386,514,252,17,031,110300,2
Cook County,Illinois,132,83,179,305,150,17,031,110300,3
Cook County,Illinois,259,59,413,296,117,17,031,110300,4
Cook County,Illinois,33,141,241,329,141,17,031,110300,5
Cook County,Illinois,290,156,574,493,285,17,031,110400,1
Cook County,Illinois,192,65,613,515,341,17,031,110400,2
Cook County,Illinois,88,64,290,306,232,17,031,110400,3
Cook County,Illinois,99,77,451,272,135,17,031,110501,1
Cook County,Illinois,111,65,223,213,130,17,031,110501,2
Cook County,Illinois,438,158,629,555,261,17,031,110501,3
Cook County,Illinois,60,22,148,25,2,17,031,110501,4
Cook County,Illinois,56,11,153,78,66,17,031,110501,5
Cook County,Illinois,109,67,384,480,251,17,031,110502,1
Cook County,Illinois,348,200,573,611,207,17,031,110502,2
Cook County,Illinois,366,115,333,379,265,17,031,120100,1
Cook County,Illinois,177,75,83,329,153,17,031,120100,2
